accurcy,cka,parameters,flops,accuracy_percent
0.8,0.169921875,100.0,1.0,100.0
0.7848,0.28125,91.81233231034926,0.9172453465242578,98.1
0.746,0.26171875,83.62466462069852,0.8344906930485156,93.25
0.712,0.3671875,75.43699693104779,0.7517360395727735,88.99999999999999
0.608,0.392578125,67.24932924139704,0.6689813860970314,75.99999999999999
0.4702,0.4296875,59.061661551746305,0.5862267326212892,58.775
0.2294,0.51953125,50.87399386209556,0.503472079145547,28.674999999999994
0.107,0.443359375,42.68632617244482,0.42071742566980486,13.374999999999998
0.0248,0.32421875,34.498658482794085,0.33796277219406273,3.0999999999999996
0.0054,0.400390625,26.31099079314334,0.25520811871832055,0.675
0.0014,0.10009765625,18.123323103492602,0.17245346524257837,0.175
0.0016,0.0908203125,9.935655413841863,0.08969881176683622,0.2
