accurcy,cka,parameters,flops,accuracy_percent,latency_percent,raw_latency
0.80192,0.169921875,100.0,1.0,100.0,100.0,33.85706812
0.79482,0.259765625,91.81233231034926,0.9172453465242578,99.11462490023942,91.3794792577568,30.93841253999999
0.76812,0.36328125,83.62466462069852,0.8344906930485156,95.78511572226657,84.00254221421905,28.4407979399999
0.72976,0.29296875,75.43699693104779,0.7517360395727735,91.00159616919393,75.6248788266305,25.604366739999747
0.59142,0.345703125,67.24932924139704,0.6689813860970314,73.7504988028731,67.46777446599499,22.84261035999989
0.49542,0.37890625,59.061661551746305,0.5862267326212892,61.77922984836394,59.017817399836936,19.981702640000005
0.19434,0.443359375,50.87399386209556,0.503472079145547,24.23433758978452,50.78921163242234,17.195737980000196
0.16354,0.419921875,42.68632617244482,0.42071742566980486,20.39355546687949,42.475095507472574,14.38082202000005
0.01268,0.2021484375,34.498658482794085,0.33796277219406273,1.5812051077414209,34.03233510698965,11.52235088000016
0.00512,0.361328125,26.31099079314334,0.25520811871832055,0.638467677573823,25.723593812469392,8.709254679999868
0.00188,0.1328125,18.123323103492602,0.17245346524257837,0.23443735035913807,17.36300615033978,5.878604820000328
0.001,0.020263671875,9.935655413841863,0.08969881176683622,0.12470071827613727,9.053001663158154,3.0650809400001893
