accurcy,cka,parameters,flops,accuracy_percent,latency_percent,raw_latency
0.66498,0.373046875,100.0,1.0,100.0,100.0,12.029603040000001
0.65066,0.4921875,92.21914235381857,0.918926998943055,97.84655177599326,93.38296901940032,11.23360048000004
0.58764,0.37109375,84.43828470763715,0.8378539978861099,88.36957502481279,84.50285239004864,10.165357700000005
0.2507,0.423828125,76.65742706145573,0.7567809968291649,37.70038196637493,78.8147345217806,9.48109970000005
0.20712,0.421875,68.87656941527432,0.6757079957722198,31.14680140756113,70.45558720281772,8.475527460000013
0.013,0.2890625,61.09571176909289,0.5946349947152749,1.9549460134139371,61.895750302330846,7.445813060000001
0.01114,0.404296875,53.31485412291147,0.5135619936583299,1.675238353033174,53.19568599829719,6.399229860000014
0.00592,0.279296875,45.533996476730046,0.43248899260138485,0.8902523384161929,44.832997581604275,5.393231639999795
0.00354,0.3203125,37.75313883054863,0.3514159915444398,0.5323468374988722,35.39745697211056,4.258173559999705
0.0018,0.337890625,29.972281184367205,0.27034299048749477,0.27068483262654514,28.082393648127734,3.378200479999941
0.00122,0.032470703125,22.19142353818578,0.18926998943054976,0.1834641643357695,19.464841792483586,2.3415431999997964
0.001,0.05419921875,14.41056589200436,0.10819698837360472,0.15038046257030288,11.755882844160027,1.414186039999913
